IBO_dB,NMSE_NoDPD,NMSE_Poly,NMSE_LUT,EVM_NoDPD,EVM_Poly,EVM_LUT,ACPR_NoDPD,ACPR_Poly,ACPR_LUT,c3_star
0,-22.9022625850765,-33.4770194966505,-12.4710826108343,3.03027191656414,1.45848732354298,15.3862737888411,-35.7499039154787,-39.6438467920858,-19.5399728967753,0.24
3,-29.6041665999643,-50.5688147358811,-10.3753807541889,1.27794430998142,0.173709912700886,23.2161894393478,-42.408966169234,-49.511989253309,-18.4238093221452,0.096
6,-35.8953332810615,-52.4735866240129,-10.575671698435,0.59306646932109,0.0549168958755182,28.9586065602728,-46.8558868486117,-49.663376826378,-17.3537910567934,0.048
9,-42.1741018256036,-56.327060315278,-29.2396465288423,0.289519188405433,0.0623106026419336,0.230230963074689,-48.5535403765037,-49.278660256607,-33.1816849387642,0.016
